make,model,version,fiscal_power,fuel,seats,new_value_centimes,year_from,year_to,popular
Dacia,Sandero,1.0 SCe Access,5,essence,5,13000000,2017,2023,true
Dacia,Sandero,1.0 SCe Ambiance,5,essence,5,14500000,2017,2023,true
Dacia,Sandero,1.5 dCi Ambiance,5,diesel,5,16000000,2015,2022,true
Dacia,Sandero Stepway,1.0 TCe Confort,6,essence,5,17500000,2020,2024,true
Dacia,Sandero Stepway,1.5 dCi Prestige,6,diesel,5,19000000,2018,2024,true
Dacia,Logan,1.0 SCe Access,5,essence,5,13500000,2017,2023,true
Dacia,Logan,1.5 dCi Ambiance,5,diesel,5,16500000,2016,2023,true
Dacia,Logan MCV,1.5 dCi Confort,5,diesel,5,17500000,2015,2021,true
Dacia,Duster,1.5 dCi Ambiance,8,diesel,5,22000000,2018,2024,true
Dacia,Duster,1.5 dCi Prestige 4x4,9,diesel,5,26000000,2018,2024,true
Dacia,Duster,1.3 TCe Confort,8,essence,5,23000000,2020,2024,true
Dacia,Dokker,1.5 dCi Ambiance,6,diesel,5,16000000,2015,2021,true
Dacia,Lodgy,1.5 dCi Stepway 7pl,7,diesel,7,21000000,2015,2022,true
Renault,Clio,1.0 SCe Life,5,essence,5,16000000,2019,2024,true
Renault,Clio,1.5 dCi Zen,5,diesel,5,18500000,2019,2024,true
Renault,Clio,1.5 dCi Intens,5,diesel,5,20500000,2016,2023,true
Renault,Clio,1.2 16V Expression,6,essence,5,15000000,2013,2019,true
Renault,Megane,1.5 dCi Life,6,diesel,5,22000000,2016,2023,true
Renault,Megane,1.5 dCi Intens,6,diesel,5,26000000,2016,2023,true
Renault,Megane Sedan,1.5 dCi Zen,6,diesel,5,24000000,2017,2023,true
Renault,Captur,1.5 dCi Zen,7,diesel,5,23000000,2018,2024,true
Renault,Captur,1.3 TCe Intens,8,essence,5,27000000,2020,2024,true
Renault,Kadjar,1.5 dCi Intens,8,diesel,5,30000000,2016,2022,true
Renault,Kangoo,1.5 dCi Confort,6,diesel,5,18000000,2015,2022,true
Renault,Talisman,1.6 dCi Intens,9,diesel,5,38000000,2016,2021,false
Renault,Koleos,2.0 dCi Intens,11,diesel,5,45000000,2017,2022,false
Peugeot,208,1.2 PureTech Active,6,essence,5,17000000,2019,2024,true
Peugeot,208,1.5 BlueHDi Allure,5,diesel,5,19500000,2019,2024,true
Peugeot,208,1.6 HDi Active,5,diesel,5,16000000,2013,2019,true
Peugeot,301,1.6 HDi Active,6,diesel,5,17500000,2015,2022,true
Peugeot,301,1.2 VTi Allure,6,essence,5,16500000,2015,2022,true
Peugeot,308,1.5 BlueHDi Allure,7,diesel,5,25000000,2018,2024,true
Peugeot,308,1.6 HDi Active,7,diesel,5,22000000,2014,2020,true
Peugeot,2008,1.5 BlueHDi Allure,7,diesel,5,26000000,2019,2024,true
Peugeot,2008,1.2 PureTech Active,6,essence,5,24000000,2019,2024,true
Peugeot,3008,1.5 BlueHDi Allure,8,diesel,5,34000000,2017,2024,true
Peugeot,3008,1.6 THP GT Line,9,essence,5,38000000,2017,2023,false
Peugeot,5008,1.5 BlueHDi Allure 7pl,9,diesel,7,40000000,2018,2024,false
Peugeot,Partner,1.6 HDi Confort,6,diesel,5,17000000,2015,2021,false
Citroen,C3,1.2 PureTech Feel,6,essence,5,16500000,2017,2023,true
Citroen,C3,1.6 HDi Shine,5,diesel,5,18500000,2017,2023,true
